Title	Price	Link
LA-L202P For ACER Swift SFX14-41G Laptop Motherboard R7 5700U 16G RAM GTX1650	$304.10 to $439.10	https://www.ebay.com/itm/387516854590?_skw=%24gtx+3050&hash=item5a39cdf13e:g:9eUAAOSw3~VnFgLK&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fN09yKjzcJZO1fio%2F%2B3nHHy1odErmkFiUaJAnnihFgSW8pAKEvNjoF6l8FpKLmsww9vAtzHck%2BejUkJUGuXh8eegOC0uZ2xdlxLYPRjw%2FqgNBM8o0ua0hljugaP%2FPOOMrgENFk8XoDpGl7Ys55AUT3yOVSWj74gaXIHNM7EYl6GwXlCvLmoQpLCYzgVdegBXLrKr0iqkr%2Brwh1RU7AKKrxf%2F8DofvrcgEcORWbofM4pA%3D%3D%7Ctkp%3ABk9SR8i27MjYZQ
For Lenovo Legion 5 15ACH6 Motherboard NM-D601 W/ R5 R7 CPU GTX1650 RTX3050 GPU	$379.99 to $512.99	https://www.ebay.com/itm/396363950532?_skw=%24gtx+3050&hash=item5c4921e9c4:g:lEoAAOSwgohn47Z9&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eHsC1qFbJNlLOGI6Z%2Fg3pcBADBYsbU%2FM%2BEih62fLD%2FLClkSbyvVPby0a5w0muw9ebWsIjPEzJRW8DcOClUqOfUqLfTLNeU2NAv8llDhC6KNHusW47K3RlFCZ8U%2Fx%2FQOReICPn%2FX3Mj0mVdBnddu%2FTsiotLShYxoBBpvtbepu%2BU8Rv9PPfj07b2zVn%2BHQ8HeO%2ByvYRVfKRh81RBFDq4NTo8wkGtlp8mDMVRFArn70Wpqw%3D%3D%7Ctkp%3ABk9SR8i27MjYZQ
For MSI GF66 I7-11800H GTX3050TI 4GB Motherboard MS-15821	$686.12	https://www.ebay.com/itm/226370424372?_skw=%24gtx+3050&hash=item34b4ba8e34:g:mc4AAOSwHYJm9EXf&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1e2pdmzxhp6LlKVoDXGE9QrjlizUdIVuCXut6TpJqKfoaSvvYmsRvJMQLB9agPs9WWWg2WUWGgQpaTx8lU05hil7DJWkpLULXkaCv4lXdqMjTQWSU1bhvU9YHH6WKjzRfs0K6414kJBhUaJWFWvvBZQa8a3Ek9e36hboNxMugmDhur4Hn7ly7gksVUV%2Bv6qbI4uVPbJTWnenHjQ5a5HUQkKH%2FShMH%2FQM2mkNd59Oalk%2BsbgCXr5UExweBB0rdFzjiebJhU9dn99RHSBGDJPmZQ8%7Ctkp%3ABk9SR8i27MjYZQ
NM-D601 For Lenovo Legion 5-15ACH6 Motherboard With AMD CPU R5-5600H GPU GTX1650	$288.42 to $443.87	https://www.ebay.com/itm/235483013011?_skw=%24gtx+3050&hash=item36d3e19f93:g:RXwAAOSwEH5l-jbf&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cwmLWOvDdUXL6QDjIYLWMf2F99RYg6VLAp5d8xX%2FUI702SJK1ia2r41xp8FmiYCYSO2ZHlnbFLoI34m%2FIvcekPJ98Y7JJyD7xB5RZQI0kQIaidXLfEXxb1UPehNU1Fc4gSbOad0s%2BqTqyCN5UwPAwUiA7X1KQH1IJuiN9q0g0dviNXYnQQx8LY5yRUNea4C69DR422PL69DoBVbSWSlxgg6%2BRdDpgTccvSQ%2F1wpUoErg%3D%3D%7Ctkp%3ABk9SR8i27MjYZQ
"T129215SU Gen Fan Gpu Fans Itx For Gtx 1650 Rtx 3050 3060 ""GRADE A"""	$57.00	https://www.ebay.com/itm/266717841519?_skw=%24gtx+3050&hash=item3e199f486f:g:EQcAAOSwVURnd6-4&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fZzf4Orw9b4FJ%2F%2BaxbzfAykTc0%2Fjwqx%2FLZ9Fnjoh9VX9FlFIy5ThtpZ70nQ3Iobs2j%2FKVRpUCtMnMzdA9vVrczd4dziEdp47DV0aSj3H15hUN8YIJbICFNvdUlP783o96ow6zdmhSZoqDESnxoOAqFzL2RhoZn%2BKEejOMxc%2FhFIfvKuwXlRRIxR82JBxoGOSziKF4uKc0FYc0F1P2neu2CcxlcwQGomxIfMLCkmn9OPw%3D%3D%7Ctkp%3ABk9SR8i27MjYZQ
"HP Victus 15-fb0121nr 15z Gaming Laptop PC 15.6"" R5 8GB 512GB SSD GTX 1650 W11"	$489.47	https://www.ebay.com/itm/396533001607?_skw=%24gtx+3050&hash=item5c53356d87:g:t4AAAOSwaQFjEoI4&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dUY7EkKcDbSCFI%2Fc0U6T7Ac4JDJ3HUuGIyFchemjn2fqhIVoHyV3PQUY6iEkNA37Z4MT7pnWgCBd8V3N8VxBSnMbiqa9DKEWWIElNpBaX3eOSlB1CFdUQLj3Y%2BXNGkbpY%2BwX0xNELiRcF8iH3czWDQ4%2BBKoYh0CkqyceyZesghOOFtcSe23nH1cXG78agMwYJ8DzrawZBwI1aIcfWNSL0rNhY2GI1GLeJ%2BlmxFfbFW5Q%3D%3D%7Ctkp%3ABk9SR8i27MjYZQ
5B21D69242 For Lenovo ThinkBook 15P G2 ITH Motherboard NM-E021 i5 i7 3050 4G	$329.98 to $411.81	https://www.ebay.com/itm/186973486832?_skw=%24gtx+3050&hash=item2b887cfef0:g:o~gAAOSwmAJnNZ2C&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fWRcgrVIsFEqS%2BiP%2BKiz4QeEwUIZSH5k5yDuiVgNHzKrr9IKAAXPCnEJQA2BhppYjwmnsoqxLE41aSj29MJ09VoUmJLrnrM3mOEeb7J%2F7f5GkDv6YcJDexxGkDYTgGmyKzVP%2Fv3jgzB3kUU65U5qYEa%2FyAq6OTbaPNmsCidbHO%2FACVRtp7JfbDAycEUIfIABA4Jb7VjgnhfXWlZ%2BGf7aWlC93F6az2p5DaEmmW2sG3LTrFWws7epAR5CNdjqs44lo%3D%7Ctkp%3ABk9SR8i27MjYZQ
For DELL Inspiron 16 7610 7510 I7-11800H CPU and GTX3050 GPU CN-0TW2DN Mainboard	$450.90	https://www.ebay.com/itm/235454574492?_skw=%24gtx+3050&hash=item36d22faf9c:g:4qkAAOSwQ4Nl4Xns&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cGtxRtx1%2BWddzitAszVwdW7cA0MQk0A0%2B7oeitJ9iyG8BIN25TXxxv4F3g3Qyf2QW%2FKWHuHuh6eb0JrDMUKXnJWja3NI5ZOkxN2lnwk6oPZF1w44OONpZrZZcDM%2BsaJLvYK2JKV27Jjn8MC6XYBg4KuuDCHu5eYJVj4QgMWAP4BE4iRbIE%2B8%2FZkKNLrXstg5v0dfcbAitfz17v%2FDPQBW0r3SaEzQbQmJoOkmWj2nrSTrv0wOSqwWbV%2FCcjQ0XbGp9XxoQgfcG3bqX13PPqXgHx%7Ctkp%3ABk9SR8i27MjYZQ
Lenovo 5 Pro-16ACH6 Motherboard CPU R5-5600H/R7-5800H GTX1650/3050 4G RAM16G	$425.28 to $687.58	https://www.ebay.com/itm/186374262732?_skw=%24gtx+3050&hash=item2b64c58fcc:g:xdYAAOSwMdpmDQak&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eZ9qbWJFNEdwV6le9rfJUlEmaJU0CnhBmYzNyCpJfx9YtGkpoWkK%2F4anOCDYJRNisNXNhVfU63O2Y0bU6PaPSu9ByFo4hdJxZTlrJqk8I2QeomcTSmBR2MbtGBsKGH3zP838nz1vz1gF1RlUP%2FxtFLj2DoIIwl0yxNSuneQA3inoYuvHMfdCiVGuTmFpo73hrbWqTmzwzXOXXBOsUtm8ftTAMLSbKU8kFS2fCsi37N%2Fz8MA%2FzH0o7VKs7S6%2Bnh00bJl6UbZVuwaK%2F0QuzUf1Js%7Ctkp%3ABFBMyrbsyNhl
Motherboard for Acer A715-42G LA-K831P W/ R5/R7 CPU GTX1650 RTX3050 RTX3050TI	$376.99 to $516.99	https://www.ebay.com/itm/176274212273?_skw=%24gtx+3050&hash=item290ac305b1:g:eMUAAOSwChVkftao&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cat5iuiUu%2FmJpSrxt6MU70LoemLU%2F7teri%2FUyiXDkeDHp1TQiJBMfqsvFkBlLUWR3v1gjKjt4vkQ25Zv%2BxjhRPPOOm5K4thpOiEdNTbNbhPzaAToNYtjqk0dlANhbdyxoNYq3A0I%2F7Qt05YRoKv5foFbjuEsWtnJlMsEYUVMAtnMoTg9Mw4U%2BdoXtUQ2tUXoL4SB122F5E7pLMFDDQk4fqezgpHakEahL2HmepdBj3y9e4AOnV60psfHFvH9qi%2BR1A0XgIzxcuqob6oNzC16lm%7Ctkp%3ABFBMyrbsyNhl
